Location,PVI,Member,Incumbent Party,Status
,,Redistricted from the 10th district,,
,,,,
,,,,
,,,,
Michigan 10,R+3,None (New seat),,New seat.
,,,,New member elected.
,,,,Republican gain.
,,,,
,,,,
Michigan 11,D+7,Haley Stevens,Democratic,Incumbent re-elected.
,,,,
,,Andy Levin,Democratic,Incumbent lost renomination.
,,Redistricted from the 9th district,,Democratic loss.
Michigan 12,D+23,Rashida Tlaib,Democratic,Incumbent re-elected.
,,Redistricted from the 13th district,,
,,,,
,,Brenda Lawrence,Democratic,Incumbent retired.
,,Redistricted from the 14th district,,Democratic loss.
Michigan 13,D+23,None (New seat),,New seat.
,,,,New member elected.
,,,,Democratic gain.
,,,,
,,,,
Minnesota 1,R+7,Brad Finstad,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
Minnesota 2,D+1,Angie Craig,DFL,Incumbent re-elected.
,,,,
,,,,
,,,,
Minnesota 3,D+8,Dean Phillips,DFL,Incumbent re-elected.
,,,,
,,,,
Minnesota 4,D+17,Betty McCollum,DFL,Incumbent re-elected.
,,,,
,,,,
Minnesota 5,D+30,Ilhan Omar,DFL,Incumbent re-elected.
,,,,
,,,,
Minnesota 6,R+12,Tom Emmer,Republican,Incumbent re-elected.
,,,,
,,,,
Minnesota 7,R+19,Michelle Fischbach,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Minnesota 8,R+8,Pete Stauber,Republican,Incumbent re-elected.
,,,,
,,,,
Mississippi 1,R+18,Trent Kelly,Republican,Incumbent re-elected.
,,,,
,,,,
Mississippi 2,D+11,Bennie Thompson,Democratic,Incumbent re-elected.
,,,,
,,,,
Mississippi 3,R+15,Michael Guest,Republican,Incumbent re-elected.
,,,,
,,,,
Mississippi 4,R+22,Steven Palazzo,Republican,Incumbent lost renomination.
,,,,New member elected.
,,,,Republican hold.
,,,,
Missouri 1,D+27,Cori Bush,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
Missouri 2,R+7,Ann Wagner,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Missouri 3,R+16,Blaine Luetkemeyer,Republican,Incumbent re-elected.
,,,,
,,,,
Missouri 4,R+23,Vicky Hartzler,Republican,Incumbent retired to run for U.S. senator.
,,,,New member elected.
,,,,Republican hold.
,,,,
Missouri 5,D+11,Emanuel Cleaver,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
Missouri 6,R+21,Sam Graves,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Missouri 7,R+24,Billy Long,Republican,Incumbent retired to run for U.S. senator.
,,,,New member elected.
,,,,Republican hold.
,,,,
Missouri 8,R+28,Jason Smith,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Montana 1,R+6,None (New seat),,New seat.
,,,,New member elected.
,,,,Republican gain.
,,,,
Montana 2,R+16,Matt Rosendale,Republican,Incumbent re-elected.
,,Redistricted from the at-large district,,
,,,,
,,,,
,,,,
Nebraska 1,R+9,Mike Flood,Republican,Incumbent re-elected.
,,,,
,,,,
Nebraska 2,EVEN,Don Bacon,Republican,Incumbent re-elected.
,,,,
,,,,
Nebraska 3,R+29,Adrian Smith,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Nevada 1,D+3,Dina Titus,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
Nevada 2,R+8,Mark Amodei,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
Nevada 3,D+1,Susie Lee,Democratic,Incumbent re-elected.
,,,,
,,,,
Nevada 4,D+3,Steven Horsford,Democratic,Incumbent re-elected.
,,,,
,,,,
New Hampshire 1,EVEN,Chris Pappas,Democratic,Incumbent re-elected.
,,,,
,,,,
New Hampshire 2,D+2,Annie Kuster,Democratic,Incumbent re-elected.
,,,,
,,,,
New Jersey 1,D+10,Donald Norcross,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
New Jersey 2,R+5,Jeff Van Drew,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
New Jersey 3,D+5,Andy Kim,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
New Jersey 4,R+14,Chris Smith,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
New Jersey 5,D+4,Josh Gottheimer,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
New Jersey 6,D+8,Frank Pallone,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
New Jersey 7,R+1,Tom Malinowski,Democratic,Incumbent lost re-election.
,,,,New member elected.
,,,,Republican gain.
New Jersey 8,D+22,Albio Sires,Democratic,Incumbent retired.
,,,,New member elected.
,,,,Democratic hold.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
New Jersey 9,D+8,Bill Pascrell,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
New Jersey 10,D+30,Donald Payne Jr.,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
New Jersey 11,D+6,Mikie Sherrill,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
New Jersey 12,D+12,Bonnie Watson Coleman,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
New Mexico 1,D+5,Melanie Stansbury,Democratic,Incumbent re-elected.
,,,,
,,,,
New Mexico 2,D+1,Yvette Herrell,Republican,Incumbent lost re-election.
,,,,New member elected.
,,,,Democratic gain.
New Mexico 3,D+4,Teresa Leger Fernandez,Democratic,Incumbent re-elected.
,,,,
,,,,
New York 1,R+3,Lee Zeldin,Republican,Incumbent retired to run for governor of New York.
,,,,New member elected.
,,,,Republican hold.
New York 2,R+3,Andrew Garbarino,Republican,Incumbent re-elected.
,,,,
,,,,
New York 3,D+2,Thomas Suozzi,Democratic,Incumbent retired to run for governor of New York.
,,,,New member elected.
,,,,Republican gain.
New York 4,D+5,Kathleen Rice,Democratic,Incumbent retired.
,,,,New member elected.
,,,,Republican gain.
New York 5,D+30,Gregory W. Meeks,Democratic,Incumbent re-elected.
,,,,
,,,,
New York 6,D+15,Grace Meng,Democratic,Incumbent re-elected.
,,,,
,,,,
New York 7,D+31,Nydia Velázquez,Democratic,Incumbent re-elected.
,,,,
,,,,
New York 8,D+26,Hakeem Jeffries,Democratic,Incumbent re-elected.
,,,,
,,,,
New York 9,D+25,Yvette Clarke,Democratic,Incumbent re-elected.
,,,,
,,,,
New York 10,D+35,Mondaire Jones,Democratic,Incumbent lost renomination.
,,Moved from the 17th district[h],,New member elected.
,,,,Democratic hold.
,,,,
New York 11,R+6,Nicole Malliotakis,Republican,Incumbent re-elected.
,,,,
,,,,
New York 12,D+34,Carolyn Maloney,Democratic,Incumbent lost renomination.
,,,,Democratic loss.
,,,,
,,Jerrold Nadler,Democratic,Incumbent re-elected.
,,Redistricted from the 10th district,,
New York 13,D+38,Adriano Espaillat,Democratic,Incumbent re-elected.
,,,,
New York 14,D+28,Alexandria Ocasio-Cortez,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
New York 15,D+35,Ritchie Torres,Democratic,Incumbent re-elected.
,,,,
,,,,
New York 16,D+20,Jamaal Bowman,Democratic,Incumbent re-elected.
,,,,
,,,,
New York 17,D+3,Sean Patrick Maloney,Democratic,Incumbent lost re-election.
,,Redistricted from the 18th district,,New member elected.
,,,,Republican gain.
New York 18,D+1,Pat Ryan,Democratic,Incumbent re-elected.
,,Redistricted from the 19th district,,
,,,,
New York 19,EVEN,None (New seat),,New seat.
,,,,New member elected.
,,,,Republican gain.
New York 20,D+7,Paul Tonko,Democratic,Incumbent re-elected.
,,,,
,,,,
New York 21,R+9,Elise Stefanik,Republican,Incumbent re-elected.
,,,,
,,,,
New York 22,D+1,John Katko,Republican,Incumbent retired.
,,Redistricted from the 24th district,,New member elected.
,,,,Republican hold
New York 23,R+12,Joe Sempolinski,Republican,Incumbent retired.
,,,,New member elected.
,,,,Republican hold.
,,Chris Jacobs,Republican,Incumbent retired.
,,Redistricted from the 27th district,,Republican loss.
New York 24,R+11,Claudia Tenney,Republican,Incumbent re-elected.
,,Redistricted from the 22nd district,,
,,,,
New York 25,D+7,Joseph Morelle,Democratic,Incumbent re-elected.
,,,,
,,,,
New York 26,D+9,Brian Higgins,Democratic,Incumbent re-elected.
,,,,
,,,,
North Carolina 1,D+2,G. K. Butterfield,Democratic,Incumbent retired.
,,,,New member elected.
,,,,Democratic hold.
North Carolina 2,D+12,Deborah K. Ross,Democratic,Incumbent re-elected.
,,,,
,,,,
North Carolina 3,R+15,Greg Murphy,Republican,Incumbent re-elected.
,,,,
,,,,
North Carolina 4,D+16,David Price,Democratic,Incumbent retired.
,,,,New member elected.
,,,,Democratic hold.
North Carolina 5,R+13,Virginia Foxx,Republican,Incumbent re-elected.
,,,,
,,,,
North Carolina 6,D+4,Kathy Manning,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
North Carolina 7,R+8,David Rouzer,Republican,Incumbent re-elected.
,,,,
,,,,
North Carolina 8,R+20,Dan Bishop,Republican,Incumbent re-elected.
,,Redistricted from the 9th district,,
,,,,
North Carolina 9,R+6,Richard Hudson,Republican,Incumbent re-elected.
,,Redistricted from the 8th district,,
,,Ted Budd,Republican,Incumbent retired to run for U.S. senator.
,,Redistricted from the 13th district,,Republican loss.
North Carolina 10,R+22,Patrick McHenry,Republican,Incumbent re-elected.
,,,,
,,,,
North Carolina 11,R+8,Madison Cawthorn,Republican,Incumbent lost renomination.
,,,,New member elected.
,,,,Republican hold.
,,,,
North Carolina 12,D+13,Alma Adams,Democratic,Incumbent re-elected.
,,,,
,,,,
North Carolina 13,R+2,None (New seat),,New seat.
,,,,New member elected.
,,,,Democratic gain.
North Carolina 14,D+6,None (New seat),,New seat.
,,,,New member elected.
,,,,Democratic gain.
North Dakota at-large,R+20,Kelly Armstrong,Republican,Incumbent re-elected.
,,,,
,,,,
Ohio 1,D+2,Steve Chabot,Republican,Incumbent lost re-election.
,,,,New member elected.
,,,,Democratic gain.
Ohio 2,R+25,Brad Wenstrup,Republican,Incumbent re-elected.
,,,,
,,,,
Ohio 3,D+20,Joyce Beatty,Democratic,Incumbent re-elected.
,,,,
,,,,
Ohio 4,R+20,Jim Jordan,Republican,Incumbent re-elected.
,,,,
,,,,
Ohio 5,R+15,Bob Latta,Republican,Incumbent re-elected.
,,,,
,,,,
Ohio 6,R+16,Bill Johnson,Republican,Incumbent re-elected.
,,,,
,,,,
Ohio 7,R+7,Bob Gibbs,Republican,Incumbent retired.
,,,,New member elected.
,,,,Republican hold.
,,Anthony Gonzalez,Republican,Incumbent retired.
,,Redistricted from the 16th district,,Republican loss.
Ohio 8,R+14,Warren Davidson,Republican,Incumbent re-elected.
,,,,
,,,,
Ohio 9,R+3,Marcy Kaptur,Democratic,Incumbent re-elected.
,,,,
,,,,
Ohio 10,R+4,Mike Turner,Republican,Incumbent re-elected.
,,,,
,,,,
Ohio 11,D+28,Shontel Brown,Democratic,Incumbent re-elected.
,,,,
,,,,
Ohio 12,R+18,Troy Balderson,Republican,Incumbent re-elected.
,,,,
,,,,
Ohio 13,R+1,Tim Ryan,Democratic,Incumbent retired to run for U.S. senator.
,,,,New member elected.
,,,,Democratic hold.
Ohio 14,R+9,David Joyce,Republican,Incumbent re-elected.
,,,,
,,,,
Ohio 15,R+6,Mike Carey,Republican,Incumbent re-elected.
,,,,
,,,,
Oklahoma 1,R+14,Kevin Hern,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Oklahoma 2,R+29,Markwayne Mullin,Republican,Incumbent retired to run for U.S. senator.
,,,,New member elected.
,,,,Republican hold.
,,,,
Oklahoma 3,R+24,Frank Lucas,Republican,Incumbent re-elected.
,,,,
,,,,
Oklahoma 4,R+19,Tom Cole,Republican,Incumbent re-elected.
,,,,
,,,,
Oklahoma 5,R+12,Stephanie Bice,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Oregon 1,D+18,Suzanne Bonamici,Democratic,Incumbent re-elected.
,,,,
,,,,
Oregon 2,R+15,Cliff Bentz,Republican,Incumbent re-elected.
,,,,
,,,,
Oregon 3,D+22,Earl Blumenauer,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
Oregon 4,D+4,Peter DeFazio,Democratic,Incumbent retired.
,,,,New member elected.
,,,,Democratic hold.
,,,,
,,,,
,,,,
,,,,
Oregon 5,D+2,Kurt Schrader,Democratic,Incumbent lost renomination.
,,,,New member elected.
,,,,Republican gain.
Oregon 6,D+4,None (New seat),,New seat.
,,,,New member elected.
,,,,Democratic gain.
,,,,
Pennsylvania 1,EVEN,Brian Fitzpatrick,Republican,Incumbent re-elected.
,,,,
,,,,
Pennsylvania 2,D+20,Brendan Boyle,Democratic,Incumbent re-elected.
,,,,
,,,,
Pennsylvania 3,D+39,Dwight Evans,Democratic,Incumbent re-elected.
,,,,
,,,,
Pennsylvania 4,D+7,Madeleine Dean,Democratic,Incumbent re-elected.
,,,,
,,,,
Pennsylvania 5,D+14,Mary Gay Scanlon,Democratic,Incumbent re-elected.
,,,,
,,,,
Pennsylvania 6,D+5,Chrissy Houlahan,Democratic,Incumbent re-elected.
,,,,
,,,,
Pennsylvania 7,R+2,Susan Wild,Democratic,Incumbent re-elected.
,,,,
,,,,
Pennsylvania 8,R+4,Matt Cartwright,Democratic,Incumbent re-elected.
,,,,
,,,,
Pennsylvania 9,R+21,Dan Meuser,Republican,Incumbent re-elected.
,,,,
,,Fred Keller,Republican,Incumbent retired.
,,Redistricted from the 12th district,,Republican loss.
Pennsylvania 10,R+5,Scott Perry,Republican,Incumbent re-elected.
,,,,
,,,,
Pennsylvania 11,R+13,Lloyd Smucker,Republican,Incumbent re-elected.
,,,,
,,,,
Pennsylvania 12,D+8,Mike Doyle,Democratic,Incumbent retired.
,,Redistricted from the 18th district,,New member elected.
,,,,Democratic hold.
Pennsylvania 13,R+25,John Joyce,Republican,Incumbent re-elected.
Pennsylvania 14,R+18,Guy Reschenthaler,Republican,Incumbent re-elected.
Pennsylvania 15,R+21,Glenn Thompson,Republican,Incumbent re-elected.
,,,,
,,,,
Pennsylvania 16,R+13,Mike Kelly,Republican,Incumbent re-elected.
,,,,
,,,,
Pennsylvania 17,EVEN,Conor Lamb,Democratic,Incumbent retired to run for U.S. senator.
,,,,New member elected.
,,,,Democratic hold.
Rhode Island 1,D+12,David Cicilline,Democratic,Incumbent re-elected.
,,,,
,,,,
Rhode Island 2,D+4,Jim Langevin,Democratic,Incumbent retired.
,,,,New member elected.
,,,,Democratic hold.
,,,,
South Carolina 1,R+7,Nancy Mace,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
South Carolina 2,R+8,Joe Wilson,Republican,Incumbent re-elected.
,,,,
,,,,
South Carolina 3,R+21,Jeff Duncan,Republican,Incumbent re-elected.
South Carolina 4,R+12,William Timmons,Republican,Incumbent re-elected.
South Carolina 5,R+12,Ralph Norman,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
South Carolina 6,D+14,Jim Clyburn,Democratic,Incumbent re-elected.
,,,,
,,,,
South Carolina 7,R+11,Tom Rice,Republican,Incumbent lost renomination.
,,,,New member elected.
,,,,Republican hold.
South Dakota at-large,R+16,Dusty Johnson,Republican,Incumbent re-elected.
,,,,
,,,,
Tennessee 1,R+30,Diana Harshbarger,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
Tennessee 2,R+18,Tim Burchett,Republican,Incumbent re-elected.
,,,,
,,,,
Tennessee 3,R+19,Chuck Fleischmann,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
Tennessee 4,R+22,Scott DesJarlais,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Tennessee 5,R+9,Jim Cooper,Democratic,Incumbent retired.
,,,,New member elected.
,,,,Republican gain.
,,,,
,,,,
,,,,
,,,,
Tennessee 6,R+17,John Rose,Republican,Incumbent re-elected.
,,,,
,,,,
Tennessee 7,R+10,Mark E. Green,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Tennessee 8,R+21,David Kustoff,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
Tennessee 9,D+22,Steve Cohen,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Texas 1,R+26,Louie Gohmert,Republican,Incumbent retired to run for attorney general of Texas.
,,,,New member elected.
,,,,Republican hold.
Texas 2,R+15,Dan Crenshaw,Republican,Incumbent re-elected.
,,,,
,,,,
Texas 3,R+11,Van Taylor,Republican,Incumbent withdrew from renomination.
,,,,New member elected.
,,,,Republican hold.
,,,,
Texas 4,R+16,Pat Fallon,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Texas 5,R+14,Lance Gooden,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Texas 6,R+15,Jake Ellzey,Republican,Incumbent re-elected.
Texas 7,D+13,Lizzie Fletcher,Democratic,Incumbent re-elected.
,,,,
,,,,
Texas 8,R+16,Kevin Brady,Republican,Incumbent retired.
,,,,New member elected.
,,,,Republican hold.
,,,,
Texas 9,D+26,Al Green,Democratic,Incumbent re-elected.
,,,,
,,,,
Texas 10,R+13,Michael McCaul,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Texas 11,R+23,August Pfluger,Republican,Incumbent re-elected.
Texas 12,R+12,Kay Granger,Republican,Incumbent re-elected.
,,,,
,,,,
Texas 13,R+26,Ronny Jackson,Republican,Incumbent re-elected.
,,,,
,,,,
Texas 14,R+17,Randy Weber,Republican,Incumbent re-elected.
,,,,
,,,,
Texas 15,R+1,None (New seat),,New seat.
,,,,New member elected.
,,,,Republican gain.
,,,,
Texas 16,D+17,Veronica Escobar,Democratic,Incumbent re-elected.
,,,,
,,,,
Texas 17,R+14,Pete Sessions,Republican,Incumbent re-elected.
,,,,
,,,,
Texas 18,D+23,Sheila Jackson Lee,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
Texas 19,R+26,Jodey Arrington,Republican,Incumbent re-elected.
,,,,
,,,,
Texas 20,D+15,Joaquin Castro,Democratic,Incumbent re-elected.
,,,,
,,,,
Texas 21,R+13,Chip Roy,Republican,Incumbent re-elected.
,,,,
,,,,
Texas 22,R+11,Troy Nehls,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Texas 23,R+5,Tony Gonzales,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Texas 24,R+10,Beth Van Duyne,Republican,Incumbent re-elected.
,,,,
,,,,
Texas 25,R+19,Roger Williams,Republican,Incumbent re-elected.
Texas 26,R+13,Michael C. Burgess,Republican,Incumbent re-elected.
,,,,
,,,,
Texas 27,R+13,Michael Cloud,Republican,Incumbent re-elected.
,,,,
,,,,
Texas 28,D+3,Henry Cuellar,Democratic,Incumbent re-elected.
,,,,
,,,,
Texas 29,D+18,Sylvia Garcia,Democratic,Incumbent re-elected.
,,,,
,,,,
Texas 30,D+27,Eddie Bernice Johnson,Democratic,Incumbent retired.
,,,,New member elected.
,,,,Democratic hold.
,,,,
,,,,
Texas 31,R+14,John Carter,Republican,Incumbent re-elected.
Texas 32,D+14,Colin Allred,Democratic,Incumbent re-elected.
,,,,
,,,,
Texas 33,D+24,Marc Veasey,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
Texas 34,D+9,Mayra Flores,Republican,Incumbent lost re-election.
,,,,Republican loss.
,,,,
,,Vicente Gonzalez,Democratic,Incumbent re-elected.
,,Redistricted from the 15th district,,
Texas 35,D+21,None (New seat),,New seat.
,,,,New member elected.
,,,,Democratic gain.
Texas 36,R+18,Brian Babin,Republican,Incumbent re-elected.
,,,,
,,,,
Texas 37,D+24,Lloyd Doggett,Democratic,Incumbent re-elected.
,,Redistricted from the 35th district,,
,,,,
,,,,
Texas 38,R+12,None (New seat),,New seat.
,,,,New member elected.
,,,,Republican gain.
,,,,
Utah 1,R+12,Blake Moore,Republican,Incumbent re-elected.
,,,,
,,,,
Utah 2,R+11,Chris Stewart,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
Utah 3,R+13,John Curtis,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Utah 4,R+16,Burgess Owens,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Vermont at-large,D+16,Peter Welch,Democratic,Incumbent retired to run for U.S. senator.
,,,,New member elected.
,,,,Democratic hold.
,,,,
,,,,
,,,,
,,,,
,,,,
Virginia 1,R+6,Rob Wittman,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Virginia 2,R+2,Elaine Luria,Democratic,Incumbent lost re-election.
,,,,New member elected.
,,,,Republican gain.
Virginia 3,D+17,Bobby Scott,Democratic,Incumbent re-elected.
,,,,
,,,,
Virginia 4,D+16,Donald McEachin,Democratic,"Incumbent re-elected but died on November 28, 2022."
,,,,
,,,,
Virginia 5,R+7,Bob Good,Republican,Incumbent re-elected.
,,,,
,,,,
Virginia 6,R+14,Ben Cline,Republican,Incumbent re-elected.
,,,,
,,,,
Virginia 7,D+1,Abigail Spanberger,Democratic,Incumbent re-elected.
,,,,
,,,,
Virginia 8,D+26,Don Beyer,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
Virginia 9,R+23,Morgan Griffith,Republican,Incumbent re-elected.
,,,,
,,,,
Virginia 10,D+6,Jennifer Wexton,Democratic,Incumbent re-elected.
,,,,
,,,,
Virginia 11,D+18,Gerry Connolly,Democratic,Incumbent re-elected.
,,,,
,,,,
Washington 1,D+13,Suzan DelBene,Democratic,Incumbent re-elected.
,,,,
,,,,
Washington 2,D+9,Rick Larsen,Democratic,Incumbent re-elected.
,,,,
,,,,
Washington 3,R+5,Jaime Herrera Beutler,Republican,Incumbent lost renomination.
,,,,New member elected.
,,,,Democratic gain.
Washington 4,R+11,Dan Newhouse,Republican,Incumbent re-elected.
,,,,
,,,,
Washington 5,R+8,Cathy McMorris Rodgers,Republican,Incumbent re-elected.
,,,,
,,,,
Washington 6,D+6,Derek Kilmer,Democratic,Incumbent re-elected.
,,,,
,,,,
Washington 7,D+36,Pramila Jayapal,Democratic,Incumbent re-elected.
,,,,
,,,,
Washington 8,D+1,Kim Schrier,Democratic,Incumbent re-elected.
,,,,
,,,,
Washington 9,D+21,Adam Smith,Democratic,Incumbent re-elected.
,,,,
,,,,
Washington 10,D+7,Marilyn Strickland,Democratic,Incumbent re-elected.
,,,,
,,,,
West Virginia 1,R+23,Carol Miller,Republican,Incumbent re-elected.
,,Redistricted from the 3rd district,,
,,,,
,,,,
West Virginia 2,R+22,Alex Mooney,Republican,Incumbent re-elected.
,,,,
,,David McKinley,Republican,Incumbent lost renomination.
,,Redistricted from the 1st district,,Republican loss.
Wisconsin 1,R+3,Bryan Steil,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Wisconsin 2,D+19,Mark Pocan,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
Wisconsin 3,R+4,Ron Kind,Democratic,Incumbent retired.
,,,,New member elected.
,,,,Republican gain.
Wisconsin 4,D+25,Gwen Moore,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
Wisconsin 5,R+14,Scott L. Fitzgerald,Republican,Incumbent re-elected.
,,,,
,,,,
Wisconsin 6,R+10,Glenn Grothman,Republican,Incumbent re-elected.
,,,,
Wisconsin 7,R+12,Tom Tiffany,Republican,Incumbent re-elected.
,,,,
,,,,
Wisconsin 8,R+10,Mike Gallagher,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,